banks_fiscal_year,calendar_year,low_income_level_threshold,middle_income_level_threshold,high_income_level_threshold
FY62,1960,,,
FY63,1961,,,
FY64,1962,,,
FY65,1963,,,
FY66,1964,,,
FY67,1965,,,
FY68,1966,,,
FY69,1967,,,
FY70,1968,,,
FY71,1969,,,
FY72,1970,,,
FY73,1971,,,
FY74,1972,,,
FY75,1973,,,
FY76,1974,,,
FY77,1975,,,
FY78,1976,,,
FY79,1977,,,
FY80,1978,,,
FY81,1979,,,
FY82,1980,,,
FY83,1981,,,
FY84,1982,,,
FY85,1983,,,
FY86,1984,,,
FY87,1985,,,
FY88,1986,,,
FY89,1987,480,1940,6000
FY90,1988,545,2200,6000
FY91,1989,580,2335,6000
FY92,1990,610,2465,7620
FY93,1991,635,2555,7910
FY94,1992,675,2695,8355
FY95,1993,695,2785,8625
FY96,1994,725,2895,8955
FY97,1995,765,3035,9385
FY98,1996,785,3115,9645
FY99,1997,785,3125,9655
FY00,1998,760,3030,9360
FY01,1999,755,2995,9265
FY02,2000,755,2995,9265
FY03,2001,745,2978,9205
FY04,2002,735,2935,9075
FY05,2003,765,3035,9385
FY06,2004,825,3255,10065
FY07,2005,875,3465,10725
FY08,2006,905,3595,11115
FY09,2007,935,3705,11455
FY10,2008,975,3855,11905
FY11,2009,995,3945,12195
FY12,2010,1005,3975,12275
FY13,2011,1025,4035,12475
FY14,2012,1035,4085,12615
FY15,2013,1045,4125,12745
FY16,2014,1045,4125,12735
FY17,2015,1025,4035,12475
FY18,2016,1005,3955,12235
FY19,2017,995,3895,12055
FY20,2018,1025,3995,12375
FY21,2019,1035,4045,12535
